ID	parentID	basionymID	rank	etymology	vernacularName	scientificName	authorship	namePublishedInYear	nameReferenceID	extinct	kingdom	phylum	class	order	family	references	imageURL	imageLicense	imageCreator	imageLink
1			species	Lemmy Kilmister (Motörhead)		Kalloprion kilmisteri	Eriksson	2006	Eriksson_2006		Animalia	Annelida	Polychaeta	Aciculata	Kalloprionidae					
2			species	King Diamond (Mercyful Fate)		Kingnites diamondi	Eriksson	2012	Eriksson_2012		Animalia									
3			species	Beyoncé		Scaptia beyonceae	Lessard	2011	Lessard_2011		Animalia	Arthropoda								
4			species	Frank Zappa		Oenonites zappae	Eriksson	1997	Eriksson_1997		Animalia					http://www.tandfonline.com/doi/pdf/10.1080/11035899709546480#.VQ7Mq-FO3aw				
5			species	Frank Zappa		Amaurotoma zappa	Plas	1972	zenodo.16284		Animalia									
6			species	Frank Zappa		Ranzania zappai	Carnevale	2007			Animalia					http://www.stsn.it/it/palaeontographia-italica.html				
7			species	Frank Zappa		Zappaichthys harzhauseri	Carnevale & Collette	2014	Carnevale_2014		Animalia									
8			species	Malcom Young (AC/DC)		Maldybulakia malcomlmi	Edgecombe	1998	Edgecombe_1998	TRUE	Animalia	Arthropoda		Xiphosura						
9			species	Angus Young (AC/DC)		Maldybulakia angusi	Edgecombe	1998	Edgecombe_1998	TRUE	Animalia	Arthropoda		Xiphosura						
10			species	Ramones		Mackenziurus johnny	Edgecombe	1990			Animalia	Arthropoda	Trilobita	Phacopida	Encrinuridae	http://hdl.handle.net/2246/5060				
11			species	Ramones		Mackenziurus deedeei	Edgecombe	1990			Animalia	Arthropoda	Trilobita	Phacopida	Encrinuridae	http://hdl.handle.net/2246/5060				
12			species	Ramones		Mackenziurus ceejayi	Edgecombe	1990			Animalia	Arthropoda	Trilobita	Phacopida	Encrinuridae	http://hdl.handle.net/2246/5060				
13			species	Ramones		Mackenziurus joeyi	Edgecombe	1990			Animalia	Arthropoda	Trilobita	Phacopida	Encrinuridae	http://hdl.handle.net/2246/5060				
14			species	Sex Pistols		Arcticalymene viciousi	Adrain & Edgecombe	1997	jstor_1306585	TRUE	Animalia	Arthropoda	Trilobita	Phacopida		https://www.jstor.org/stable/1306585				
15			species	Sex Pistols		Arcticalymene cooki	Adrain & Edgecombe	1997	jstor_1306585	TRUE	Animalia	Arthropoda	Trilobita	Phacopida		https://www.jstor.org/stable/1306585				
16			species	Sex Pistols		Arcticalymene rotteni	Adrain & Edgecombe	1997	jstor_1306585	TRUE	Animalia	Arthropoda	Trilobita	Phacopida		https://www.jstor.org/stable/1306585				
17			species	Sex Pistols		Arcticalymene matlocki	Adrain & Edgecombe	1997	jstor_1306585	TRUE	Animalia	Arthropoda	Trilobita	Phacopida		http://www.jstor.org/stable/1306585				
18			species	Eluveitie		Paracidaris eluveitie	Hostettler & Menkveld	2015			Animalia									
19			species	Mark Knopfler		Masiakasaurus knopfleri	Sampson et al.	2001	Sampson_2001		Animalia	Chordata	Reptilia	Saurischia	Noasauridae					
20			species	Greg Graffin		Qiliana graffini	Ji et al.	2011	JI_2011		Animalia									
21			genus	Mick Jagger		Jaggermeryx	Miller et al.	2014	Miller_2014		Animalia	Chordata	Mammalia			http://www.bioone.org/doi/full/10.1666/13-122				
21b			species	Mick Jagger		Jaggermeryx naida	Miller et al.	2014	Miller_2014		Animalia	Chordata	Mammalia			http://www.bioone.org/doi/full/10.1666/13-122				
22			species	Mick Jagger		Aegrotocatellus jaggeri	Adrain & Edgecombe	1995	jstor_1306307		Animalia					http://www.jstor.org/stable/1306307				
23			species	Mick Jagger		Anomphalus jaggerius	Miller et al.	1972			Animalia					http://jpaleontol.geoscienceworld.org/content/46/2/249.abstract				
24			species	Keith Richards		Perirehaedulus richardsi	Adrain & Edgecombe	1995	jstor_1306307		Animalia					http://www.jstor.org/stable/1306307				
25			species	Nanker Phelge		Aegrotocatellus nankerphelgeorum	Adrain & Edgecombe	1995	jstor_1306307		Animalia					http://www.jstor.org/stable/1306307				
26			species	Michael Jackson		Mesoparapylocheles michaeljacksoni	Fraaije et al.	2012	Fraaije_2012		Animalia									
27			genus	Jimi Hendrix		Hendrixella	Bannikov & Carnevale	2009	Bannikov_2009		Animalia									
28			species	Robert Fripp		Frippia labroiformis	Bannikov & Carnevale	2012	Bannikov_2009		Animalia					http://link.springer.com/article/10.1007/s00015-009-1331-3				
29			species	Tarkus		Tarkus squirei	Carnevale & Pietsch	2012	CARNEVALE_2010		Animalia									
30			species	John Lennon		Avalanchurus lennoni	Edgecom & Chatte	1993			Animalia					https://www.schweizerbart.de/papers/pala/list/A226#issue4-6				
31			species	Ringo Starr		Avalanchurus starri	Edgecom & Chatte	1993			Animalia					https://www.schweizerbart.de/papers/pala/list/A226#issue4-6				
32			species	George Harrison		Struszia harrisoni	Edgecom & Chatte	1993			Animalia					https://www.schweizerbart.de/papers/pala/list/A226#issue4-6				
33			species	Paul McCartney		Struszia maccartneyi	Edgecom & Chatte	1993			Animalia					https://www.schweizerbart.de/papers/pala/list/A226#issue4-6				
34			species	Art Garfunel		Avalanchurus garfunkeli	Edgecom & Chatte	1993			Animalia					https://www.schweizerbart.de/papers/pala/list/A226#issue4-6				
35			species	Paul Simon		Avalanchurus simoni	Edgecom & Chatte	1993			Animalia					https://www.schweizerbart.de/papers/pala/list/A226#issue4-6				
